runtimeRef	runtimeGeneration	algorithm_run_id	runtimeState	heartbeat	bindingId	challengeId	challengeExecutionId	currentChallenge
af7a834f-a1a7-40ef-a966-c11e7e765dbe	d214a877-3f52-4a88-b1cf-1a7f65b14e6a	1790058537904	"STOPPED"	"2026-09-22T06:29:14.984284Z"	NULL	NULL	NULL	NULL
proposalId	executionId	commandId	state	proposalSource	action	outcome	presentationStatus	devices
c52c7b32-01b9-4101-af23-1c8ec288994f	25b96a78-8b68-4363-8cd2-ca1c00f2a95b	5eb9b7e1-b97a-4e33-b6e7-4e5fd0c635f6	SUCCEEDED	"MANUAL"	"START"	"SUCCESS"	"PENDING"	["UAV-001", "UAV-002", "UAV-003", "USV-001", "USV-002", "USV-003"]
39e8da85-95a5-45ca-b0f1-e1fc29163529	8458a65c-2d37-4413-a8a4-83aacb31b473	347f8a61-6e4c-4c64-9ee9-d73fddc92bdb	SUCCEEDED	"MANUAL"	"PAUSE"	"SUCCESS"	"NOT_REQUIRED"	["UAV-001", "UAV-002", "UAV-003", "USV-001", "USV-002", "USV-003"]
b7f86f8c-8e72-42fe-aed6-a3992a8ef35e	7518181d-bc3d-413a-9bdf-692e29397b5f	9e158537-8b8f-43a0-b861-571ea48ded2e	SUCCEEDED	"MANUAL"	"RESUME"	"SUCCESS"	"PENDING"	["UAV-001", "UAV-002", "UAV-003", "USV-001", "USV-002", "USV-003"]
5c37eb60-6bf6-4477-abb9-bc0d9aeeb345	f675da74-8ba8-4d05-8699-10d9f86d819a	fd812967-775e-49d3-af89-61269a9b116e	SUCCEEDED	"MANUAL"	"STOP"	"SUCCESS"	"NOT_REQUIRED"	["UAV-001", "UAV-002", "UAV-003", "USV-001", "USV-002", "USV-003"]
execution_id	event_sequence	received_at	data_json
25b96a78-8b68-4363-8cd2-ca1c00f2a95b	1	2026-09-22T06:29:13.365788Z	{"protocolVersion":"algorithm.command.v1","runtimeRef":"af7a834f-a1a7-40ef-a966-c11e7e765dbe","runtimeGeneration":"d214a877-3f52-4a88-b1cf-1a7f65b14e6a","kind":"COMMAND_RESULT","commandId":"5eb9b7e1-b97a-4e33-b6e7-4e5fd0c635f6","eventSequence":1,"status":"ACCEPTED","runtimeState":"PREPARED","stateVersion":0,"lastFrameSequence":1,"errorCode":null,"affectedDeviceCodes":[]}
25b96a78-8b68-4363-8cd2-ca1c00f2a95b	2	2026-09-22T06:29:13.427721Z	{"protocolVersion":"algorithm.command.v1","runtimeRef":"af7a834f-a1a7-40ef-a966-c11e7e765dbe","runtimeGeneration":"d214a877-3f52-4a88-b1cf-1a7f65b14e6a","kind":"COMMAND_RESULT","commandId":"5eb9b7e1-b97a-4e33-b6e7-4e5fd0c635f6","eventSequence":2,"status":"SUCCEEDED","runtimeState":"RUNNING","stateVersion":1,"lastFrameSequence":1,"errorCode":null,"affectedDeviceCodes":["UAV-001","UAV-002","UAV-003","USV-001","USV-002","USV-003"]}
8458a65c-2d37-4413-a8a4-83aacb31b473	1	2026-09-22T06:29:14.484728Z	{"protocolVersion":"algorithm.command.v1","runtimeRef":"af7a834f-a1a7-40ef-a966-c11e7e765dbe","runtimeGeneration":"d214a877-3f52-4a88-b1cf-1a7f65b14e6a","kind":"COMMAND_RESULT","commandId":"347f8a61-6e4c-4c64-9ee9-d73fddc92bdb","eventSequence":1,"status":"ACCEPTED","runtimeState":"RUNNING","stateVersion":1,"lastFrameSequence":7,"errorCode":null,"affectedDeviceCodes":[]}
8458a65c-2d37-4413-a8a4-83aacb31b473	2	2026-09-22T06:29:14.514254Z	{"protocolVersion":"algorithm.command.v1","runtimeRef":"af7a834f-a1a7-40ef-a966-c11e7e765dbe","runtimeGeneration":"d214a877-3f52-4a88-b1cf-1a7f65b14e6a","kind":"COMMAND_RESULT","commandId":"347f8a61-6e4c-4c64-9ee9-d73fddc92bdb","eventSequence":2,"status":"SUCCEEDED","runtimeState":"PAUSED","stateVersion":2,"lastFrameSequence":7,"errorCode":null,"affectedDeviceCodes":["UAV-001","UAV-002","UAV-003","USV-001","USV-002","USV-003"]}
7518181d-bc3d-413a-9bdf-692e29397b5f	1	2026-09-22T06:29:15.428115Z	{"protocolVersion":"algorithm.command.v1","runtimeRef":"af7a834f-a1a7-40ef-a966-c11e7e765dbe","runtimeGeneration":"d214a877-3f52-4a88-b1cf-1a7f65b14e6a","kind":"COMMAND_RESULT","commandId":"9e158537-8b8f-43a0-b861-571ea48ded2e","eventSequence":1,"status":"ACCEPTED","runtimeState":"PAUSED","stateVersion":2,"lastFrameSequence":7,"errorCode":null,"affectedDeviceCodes":[]}
7518181d-bc3d-413a-9bdf-692e29397b5f	2	2026-09-22T06:29:15.467874Z	{"protocolVersion":"algorithm.command.v1","runtimeRef":"af7a834f-a1a7-40ef-a966-c11e7e765dbe","runtimeGeneration":"d214a877-3f52-4a88-b1cf-1a7f65b14e6a","kind":"COMMAND_RESULT","commandId":"9e158537-8b8f-43a0-b861-571ea48ded2e","eventSequence":2,"status":"SUCCEEDED","runtimeState":"RUNNING","stateVersion":3,"lastFrameSequence":7,"errorCode":null,"affectedDeviceCodes":["UAV-001","UAV-002","UAV-003","USV-001","USV-002","USV-003"]}
f675da74-8ba8-4d05-8699-10d9f86d819a	1	2026-09-22T06:29:15.882424Z	{"protocolVersion":"algorithm.command.v1","runtimeRef":"af7a834f-a1a7-40ef-a966-c11e7e765dbe","runtimeGeneration":"d214a877-3f52-4a88-b1cf-1a7f65b14e6a","kind":"COMMAND_RESULT","commandId":"fd812967-775e-49d3-af89-61269a9b116e","eventSequence":1,"status":"ACCEPTED","runtimeState":"RUNNING","stateVersion":3,"lastFrameSequence":11,"errorCode":null,"affectedDeviceCodes":[]}
f675da74-8ba8-4d05-8699-10d9f86d819a	2	2026-09-22T06:29:15.935252Z	{"protocolVersion":"algorithm.command.v1","runtimeRef":"af7a834f-a1a7-40ef-a966-c11e7e765dbe","runtimeGeneration":"d214a877-3f52-4a88-b1cf-1a7f65b14e6a","kind":"COMMAND_RESULT","commandId":"fd812967-775e-49d3-af89-61269a9b116e","eventSequence":2,"status":"SUCCEEDED","runtimeState":"STOPPED","stateVersion":4,"lastFrameSequence":11,"errorCode":null,"affectedDeviceCodes":["UAV-001","UAV-002","UAV-003","USV-001","USV-002","USV-003"]}
kind	detail	created_at
MANUAL_ACTION	START	2026-09-22T06:29:12.905662Z
